datetime,interval,order_in_interval,order_in_session,style,distance,time,strokes,wrong_manual
2016-07-14 11:56:00,1,1,1,FREESTYLE,25.0,35.312,12,False
2016-07-14 11:56:00,1,2,2,FREESTYLE,25.0,28.25,9,False
2016-07-14 11:56:00,1,3,3,FREESTYLE,25.0,38.25,12,False
2016-07-14 11:56:00,1,4,4,FREESTYLE,25.0,26.75,8,False
2016-07-14 11:56:00,1,5,5,FREESTYLE,25.0,31.625,10,False
2016-07-14 11:56:00,1,6,6,FREESTYLE,25.0,32.686,10,False
2016-07-14 11:56:00,1,7,7,FREESTYLE,25.0,32.0,10,False
2016-07-14 11:56:00,1,8,8,FREESTYLE,25.0,32.937,10,False
2016-07-14 11:56:00,1,9,9,FREESTYLE,25.0,39.625,13,False
2016-07-14 11:56:00,1,10,10,FREESTYLE,25.0,29.62,8,False
2016-07-14 11:56:00,,,11,REST,0.0,61.516,0,False
2016-07-14 11:56:00,2,1,13,FREESTYLE,25.0,33.375,13,False
2016-07-14 11:56:00,2,2,14,FREESTYLE,25.0,33.437,12,False
2016-07-14 11:56:00,2,3,15,FREESTYLE,25.0,29.187,10,False
2016-07-14 11:56:00,2,4,16,FREESTYLE,25.0,28.875,8,False
2016-07-14 11:56:00,2,5,17,BREASTSTROKE,25.0,34.5,15,False
2016-07-14 11:56:00,2,6,18,BREASTSTROKE,25.0,33.75,15,False
2016-07-14 11:56:00,2,7,19,BREASTSTROKE,25.0,37.75,16,False
2016-07-14 11:56:00,2,8,20,BREASTSTROKE,25.0,34.812,15,False
2016-07-14 11:56:00,2,9,21,FREESTYLE,25.0,32.311,11,False
2016-07-14 11:56:00,2,10,22,FREESTYLE,25.0,32.186,10,False
2016-07-14 11:56:00,2,11,23,FREESTYLE,25.0,35.187,12,False
2016-07-14 11:56:00,2,12,24,FREESTYLE,25.0,30.0,9,False
2016-07-14 11:56:00,2,13,25,BACKSTROKE,25.0,39.25,13,False
2016-07-14 11:56:00,2,14,26,BACKSTROKE,25.0,34.812,13,False
2016-07-14 11:56:00,2,15,27,BACKSTROKE,25.0,38.312,14,False
2016-07-14 11:56:00,2,16,28,BACKSTROKE,25.0,38.62,12,False
2016-07-14 11:56:00,2,17,29,FREESTYLE,25.0,35.437,11,False
2016-07-14 11:56:00,2,18,30,FREESTYLE,25.0,29.562,9,False
2016-07-14 11:56:00,2,19,31,FREESTYLE,25.0,32.686,10,False
2016-07-14 11:56:00,2,20,32,FREESTYLE,25.0,33.875,10,False
2016-07-14 11:56:00,,,33,REST,0.0,131.32,0,False
2016-07-14 11:56:00,3,1,35,FREESTYLE,25.0,33.75,10,False
2016-07-14 11:56:00,3,2,36,FREESTYLE,25.0,32.812,10,False
2016-07-14 11:56:00,3,3,37,BREASTSTROKE,25.0,36.937,17,False
2016-07-14 11:56:00,3,4,38,BREASTSTROKE,25.0,35.687,15,False
2016-07-14 11:56:00,3,5,39,FREESTYLE,25.0,33.75,10,False
2016-07-14 11:56:00,3,6,40,FREESTYLE,25.0,46.562,17,False
2016-07-14 11:56:00,3,7,41,BREASTSTROKE,25.0,22.5,9,False
2016-07-14 11:56:00,3,8,42,BREASTSTROKE,25.0,37.62,14,False
2016-07-14 11:56:00,3,9,43,FREESTYLE,25.0,32.436,10,False
2016-07-14 11:56:00,3,10,44,FREESTYLE,25.0,25.75,8,False
2016-07-15 12:16:00,1,1,1,FREESTYLE,25.0,30.687,9,False
2016-07-15 12:16:00,1,2,2,FREESTYLE,25.0,30.125,9,False
2016-07-15 12:16:00,1,3,3,BREASTSTROKE,25.0,36.0,16,False
2016-07-15 12:16:00,1,4,4,BREASTSTROKE,25.0,35.62,15,False
2016-07-15 12:16:00,1,5,5,FREESTYLE,25.0,35.562,12,False
2016-07-15 12:16:00,1,6,6,FREESTYLE,25.0,26.625,9,False
2016-07-15 12:16:00,1,7,7,BACKSTROKE,25.0,38.375,15,False
2016-07-15 12:16:00,1,8,8,BACKSTROKE,25.0,43.812,15,False
2016-07-15 12:16:00,1,9,9,FREESTYLE,25.0,30.25,10,False
2016-07-15 12:16:00,1,10,10,FREESTYLE,25.0,26.687,8,False
2016-07-15 12:16:00,,,11,REST,0.0,54.859,0,False
2016-07-15 12:16:00,2,1,13,FREESTYLE,25.0,32.5,11,False
2016-07-15 12:16:00,2,2,14,FREESTYLE,25.0,32.186,10,False
2016-07-15 12:16:00,2,3,15,FREESTYLE,25.0,31.687,10,False
2016-07-15 12:16:00,2,4,16,FREESTYLE,25.0,28.125,10,False
2016-07-15 12:16:00,2,5,17,BREASTSTROKE,25.0,40.875,17,False
2016-07-15 12:16:00,2,6,18,BREASTSTROKE,25.0,32.125,13,False
2016-07-15 12:16:00,2,7,19,BREASTSTROKE,25.0,35.25,14,False
2016-07-15 12:16:00,2,8,20,BREASTSTROKE,25.0,37.25,15,False
2016-07-15 12:16:00,2,9,21,FREESTYLE,25.0,25.562,7,False
2016-07-15 12:16:00,2,10,22,FREESTYLE,25.0,31.125,10,False
2016-07-15 12:16:00,2,11,23,FREESTYLE,25.0,25.812,8,False
2016-07-15 12:16:00,2,12,24,FREESTYLE,25.0,37.125,12,False
2016-07-15 12:16:00,2,13,25,BACKSTROKE,25.0,35.812,14,False
2016-07-15 12:16:00,2,14,26,BACKSTROKE,25.0,33.875,14,False
2016-07-15 12:16:00,2,15,27,BACKSTROKE,25.0,33.562,14,False
2016-07-15 12:16:00,2,16,28,BACKSTROKE,25.0,38.875,13,False
