Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,7,175.0,00:03:27.867,0:19:46  ,0:08:40  ,40.0,--,--,76,10.0,48
1.1,BREASTSTROKE,1,25.0,00:00:35.500,0:23:40  ,0:23:40  ,49.0,--,--,13,--,--
1.2,BREASTSTROKE,1,25.0,00:00:36.500,0:24:21  ,0:24:21  ,53.0,--,--,16,--,--
1.3,FREESTYLE,1,25.0,00:00:32.00,0:21:20  ,0:21:20  ,41.0,--,--,9,--,--
1.4,FREESTYLE,1,25.0,00:00:34.437,0:22:59  ,0:22:59  ,45.0,--,--,11,--,--
1.5,BREASTSTROKE,1,25.0,00:00:24.312,0:16:12  ,0:16:12  ,34.0,--,--,10,--,--
1.6,BREASTSTROKE,1,25.0,00:00:13.00,0:08:40  ,0:08:40  ,17.0,--,--,4,--,--
1.7,BREASTSTROKE,1,25.0,00:00:31.812,0:21:13  ,0:21:13  ,45.0,--,--,13,--,--
REST,,,0.0,00:00:34.484,--,--,0.0,--,--,--,7.6,--
2,DRILL,4,100.0,00:03:06.55,--,--,0.0,--,--,--,7.0,--
2.1,DRILL,1,25.0,00:00:46.513,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:46.513,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:46.513,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:46.513,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:17.08,--,--,0.0,--,--,--,7.0,--
3,MIXED,16,400.0,00:07:57.461,0:19:53  ,0:15:47  ,42.0,--,--,200,12.0,101
3.1,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,35.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,39.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:31.750,0:21:10  ,0:21:10  ,44.0,--,--,12,--,--
3.4,FREESTYLE,1,25.0,00:00:27.00,0:18:01  ,0:18:01  ,35.0,--,--,8,--,--
3.5,BREASTSTROKE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,42.0,--,--,14,--,--
3.6,BREASTSTROKE,1,25.0,00:00:36.687,0:24:28  ,0:24:28  ,54.0,--,--,17,--,--
3.7,BREASTSTROKE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,44.0,--,--,14,--,--
3.8,BREASTSTROKE,1,25.0,00:00:28.375,0:18:55  ,0:18:55  ,43.0,--,--,15,--,--
3.9,FREESTYLE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,42.0,--,--,11,--,--
3.10,FREESTYLE,1,25.0,00:00:29.812,0:19:53  ,0:19:53  ,40.0,--,--,10,--,--
3.11,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,40.0,--,--,11,--,--
3.12,FREESTYLE,1,25.0,00:00:23.687,0:15:47  ,0:15:47  ,33.0,--,--,9,--,--
3.13,BREASTSTROKE,1,25.0,00:00:26.812,0:17:52  ,0:17:52  ,41.0,--,--,14,--,--
3.14,BREASTSTROKE,1,25.0,00:00:32.812,0:21:54  ,0:21:54  ,49.0,--,--,16,--,--
3.15,BREASTSTROKE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,46.0,--,--,15,--,--
3.16,BREASTSTROKE,1,25.0,00:00:35.125,0:23:26  ,0:23:26  ,51.0,--,--,16,--,--
REST,,,0.0,00:01:26.477,--,--,0.0,--,--,--,9.2,--
4,DRILL,4,100.0,00:02:51.109,--,--,0.0,--,--,--,8.90625,--
4.1,DRILL,1,25.0,00:00:42.777,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:42.777,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:42.777,--,--,--,--,--,0,--,--
