id,datetime,interval,order_in_interval,order_in_session,style,distance,time,strokes,prev_rest,after_rest
0,2016-07-14 11:56:00,1.0,1,1,FREESTYLE,250,327.055,102,1000.0,61.516
1,2016-07-14 11:56:00,2.0,1,2,FREESTYLE,100,124.874,43,61.516,0.0
2,2016-07-14 11:56:00,2.0,2,3,BREASTSTROKE,100,140.812,61,0.0,0.0
3,2016-07-14 11:56:00,2.0,3,4,FREESTYLE,100,129.684,42,0.0,0.0
4,2016-07-14 11:56:00,2.0,4,5,BACKSTROKE,100,150.994,52,0.0,0.0
5,2016-07-14 11:56:00,2.0,5,6,FREESTYLE,100,131.56,40,0.0,131.32
6,2016-07-14 11:56:00,3.0,1,7,FREESTYLE,50,66.562,20,131.32,0.0
7,2016-07-14 11:56:00,3.0,2,8,BREASTSTROKE,50,72.624,32,0.0,0.0
8,2016-07-14 11:56:00,3.0,3,9,FREESTYLE,50,80.312,27,0.0,0.0
9,2016-07-14 11:56:00,3.0,4,10,BREASTSTROKE,50,60.12,23,0.0,0.0
10,2016-07-14 11:56:00,3.0,5,11,FREESTYLE,50,58.186,18,0.0,1000.0
11,2016-07-15 12:16:00,1.0,1,1,FREESTYLE,50,60.812,18,1000.0,0.0
12,2016-07-15 12:16:00,1.0,2,2,BREASTSTROKE,50,71.62,31,0.0,0.0
13,2016-07-15 12:16:00,1.0,3,3,FREESTYLE,50,62.187,21,0.0,0.0
14,2016-07-15 12:16:00,1.0,4,4,BACKSTROKE,50,82.187,30,0.0,0.0
15,2016-07-15 12:16:00,1.0,5,5,FREESTYLE,50,56.937,18,0.0,54.859
16,2016-07-15 12:16:00,2.0,1,6,FREESTYLE,100,124.498,41,54.859,0.0
17,2016-07-15 12:16:00,2.0,2,7,BREASTSTROKE,100,145.5,59,0.0,0.0
18,2016-07-15 12:16:00,2.0,3,8,FREESTYLE,100,119.624,37,0.0,0.0
19,2016-07-15 12:16:00,2.0,4,9,BACKSTROKE,100,142.124,55,0.0,0.0
20,2016-07-15 12:16:00,2.0,5,10,FREESTYLE,100,132.249,43,0.0,142.891
21,2016-07-15 12:16:00,3.0,1,11,FREESTYLE,250,310.748,105,142.891,1000.0
22,2016-09-06 18:06:00,1.0,1,1,FREESTYLE,200,239.232,79,1000.0,51.719
23,2016-09-06 18:06:00,2.0,1,2,FREESTYLE,100,109.061,43,51.719,12.188
24,2016-09-06 18:06:00,3.0,1,3,FREESTYLE,100,113.124,43,37.688,53.953
25,2016-09-06 18:06:00,4.0,1,4,FREESTYLE,100,110.749,42,53.953,81.469
26,2016-09-06 18:06:00,5.0,1,5,BREASTSTROKE,200,276.368,124,81.469,108.859
27,2016-09-06 18:06:00,6.0,1,6,BACKSTROKE,100,143.244,54,108.859,68.438
28,2016-09-06 18:06:00,7.0,1,7,FREESTYLE,400,494.931,179,68.438,29.422
29,2016-09-06 18:06:00,8.0,1,8,BREASTSTROKE,300,428.747,187,187.484,39.555
30,2016-09-06 18:06:00,9.0,1,9,FREESTYLE,200,276.556,95,39.555,1000.0
31,2016-09-12 18:54:00,1.0,1,1,FREESTYLE,200,231.243,77,1000.0,75.703
32,2016-09-12 18:54:00,2.0,1,2,FREESTYLE,100,105.561,42,75.703,107.367
33,2016-09-12 18:54:00,3.0,1,3,FREESTYLE,100,107.375,40,107.367,119.758
34,2016-09-12 18:54:00,4.0,1,4,FREESTYLE,100,102.062,39,119.758,91.367
35,2016-09-12 18:54:00,5.0,1,5,FREESTYLE,600,766.901,263,91.367,98.422
36,2016-09-12 18:54:00,6.0,1,6,BREASTSTROKE,300,419.995,197,98.422,102.648
37,2016-09-12 18:54:00,7.0,1,7,FREESTYLE,200,229.123,86,102.648,108.875
38,2016-09-12 18:54:00,8.0,1,8,FREESTYLE,50,63.312,21,108.875,0.0
39,2016-09-12 18:54:00,8.0,2,9,BREASTSTROKE,50,73.812,30,0.0,0.0
40,2016-09-12 18:54:00,8.0,3,10,FREESTYLE,50,73.437,23,0.0,0.0
41,2016-09-12 18:54:00,8.0,4,11,BREASTSTROKE,50,81.87,34,0.0,1000.0
42,2016-09-15 18:15:00,1.0,1,1,FREESTYLE,50,61.562,19,1000.0,0.0
43,2016-09-15 18:15:00,1.0,2,2,BREASTSTROKE,50,69.562,32,0.0,0.0
44,2016-09-15 18:15:00,1.0,3,3,FREESTYLE,50,61.187,20,0.0,0.0
45,2016-09-15 18:15:00,1.0,4,4,BREASTSTROKE,50,69.437,33,0.0,55.984
46,2016-09-15 18:15:00,2.0,1,5,FREESTYLE,200,222.551,81,55.984,96.344
47,2016-09-15 18:15:00,3.0,1,6,FREESTYLE,100,100.187,42,96.344,112.7
48,2016-09-15 18:15:00,4.0,1,7,FREESTYLE,500,631.716,212,112.7,126.367
49,2016-09-15 18:15:00,5.0,1,8,BREASTSTROKE,200,269.872,129,126.367,76.563
50,2016-09-15 18:15:00,6.0,1,9,FREESTYLE,100,111.625,42,76.563,60.352
51,2016-09-15 18:15:00,7.0,1,10,FREESTYLE,100,108.937,44,60.352,66.602
52,2016-09-15 18:15:00,8.0,1,11,FREESTYLE,50,62.5,22,66.602,0.0
53,2016-09-15 18:15:00,8.0,2,12,BREASTSTROKE,50,71.562,32,0.0,1000.0
54,2016-09-19 18:37:00,1.0,1,1,FREESTYLE,50,61.057,20,1000.0,0.0
55,2016-09-19 18:37:00,1.0,2,2,BREASTSTROKE,75,69.307,30,0.0,0.0
56,2016-09-19 18:37:00,1.0,3,3,FREESTYLE,50,74.562,24,0.0,0.0
57,2016-09-19 18:37:00,1.0,4,4,BREASTSTROKE,50,57.312,25,0.0,64.688
58,2016-09-19 18:37:00,2.0,1,5,FREESTYLE,200,212.374,81,64.688,70.93
59,2016-09-19 18:37:00,3.0,1,6,FREESTYLE,50,47.687,20,70.93,60.297
60,2016-09-19 18:37:00,4.0,1,7,FREESTYLE,50,50.0,19,60.297,118.328
61,2016-09-19 18:37:00,5.0,1,8,FREESTYLE,525,700.113,248,118.328,156.336
62,2016-09-19 18:37:00,6.0,1,9,FREESTYLE,25,31.75,17,156.336,0.0
63,2016-09-19 18:37:00,6.0,2,10,BREASTSTROKE,475,651.243,305,0.0,211.352
64,2016-09-19 18:37:00,7.0,1,11,FREESTYLE,200,243.179,94,211.352,11.31
65,2016-09-19 18:37:00,8.0,1,12,BREASTSTROKE,50,72.062,32,11.31,1000.0
66,2016-09-22 18:00:00,1.0,1,1,FREESTYLE,100,157.057,56,1000.0,0.0
67,2016-09-22 18:00:00,1.0,2,2,BREASTSTROKE,50,71.62,34,0.0,0.0
68,2016-09-22 18:00:00,1.0,3,3,FREESTYLE,25,33.125,15,0.0,63.156
69,2016-09-22 18:00:00,2.0,1,4,FREESTYLE,100,98.374,40,63.156,74.953
70,2016-09-22 18:00:00,3.0,1,5,FREESTYLE,200,211.562,81,74.953,162.523
71,2016-09-22 18:00:00,4.0,1,6,FREESTYLE,325,433.934,150,162.523,12.39
72,2016-09-22 18:00:00,5.0,1,7,FREESTYLE,1000,1291.594,437,12.39,152.422
73,2016-09-22 18:00:00,6.0,1,8,BREASTSTROKE,200,272.185,132,152.422,1000.0
74,2016-09-26 17:44:00,1.0,1,1,FREESTYLE,100,116.115,38,1000.0,0.0
75,2016-09-26 17:44:00,1.0,2,2,BREASTSTROKE,100,134.119,65,0.0,57.734
76,2016-09-26 17:44:00,2.0,1,3,FREESTYLE,100,95.437,41,57.734,76.852
77,2016-09-26 17:44:00,3.0,1,4,FREESTYLE,1000,1252.219,433,76.852,141.195
78,2016-09-26 17:44:00,4.0,1,5,FREESTYLE,200,214.311,85,141.195,91.164
79,2016-09-26 17:44:00,5.0,1,6,BREASTSTROKE,300,410.934,194,91.164,89.516
80,2016-09-26 17:44:00,6.0,1,7,FREESTYLE,200,224.181,85,89.516,48.602
81,2016-09-26 17:44:00,7.0,1,8,FREESTYLE,100,130.181,45,48.602,0.0
82,2016-09-26 17:44:00,7.0,2,9,BREASTSTROKE,100,151.31,64,0.0,1000.0
83,2016-09-29 17:37:00,1.0,1,1,FREESTYLE,100,130.494,40,1000.0,0.0
84,2016-09-29 17:37:00,1.0,2,2,BREASTSTROKE,100,139.682,61,0.0,80.25
85,2016-09-29 17:37:00,2.0,1,3,FREESTYLE,200,199.18,78,80.25,81.992
86,2016-09-29 17:37:00,3.0,1,4,BREASTSTROKE,100,146.311,63,81.992,114.352
87,2016-09-29 17:37:00,4.0,1,5,FREESTYLE,100,93.437,41,114.352,178.344
88,2016-09-29 17:37:00,5.0,1,6,FREESTYLE,500,832.542,289,178.344,228.289
89,2016-09-29 17:37:00,6.0,1,7,FREESTYLE,700,1082.855,366,228.289,91.844
90,2016-09-29 17:37:00,7.0,1,8,BREASTSTROKE,160,259.56,117,91.844,0.0
91,2016-09-29 17:37:00,7.0,2,9,BACKSTROKE,40,69.499,24,0.0,1000.0
92,2016-10-03 17:37:00,1.0,1,1,FREESTYLE,100,120.436,41,1000.0,0.0
93,2016-10-03 17:37:00,1.0,2,2,BREASTSTROKE,100,128.811,56,0.0,83.0
94,2016-10-03 17:37:00,2.0,1,3,FREESTYLE,200,189.557,73,83.0,140.992
95,2016-10-03 17:37:00,3.0,1,4,FREESTYLE,1000,1306.354,440,140.992,239.63
96,2016-10-03 17:37:00,4.0,1,5,FREESTYLE,20,29.562,13,239.63,0.0
97,2016-10-03 17:37:00,4.0,2,6,BREASTSTROKE,80,122.25,51,0.0,1000.0
98,2016-10-05 18:27:00,1.0,1,1,FREESTYLE,150,179.561,61,1000.0,77.734
99,2016-10-05 18:27:00,2.0,1,2,FREESTYLE,200,196.118,77,77.734,109.609
100,2016-10-05 18:27:00,3.0,1,3,FREESTYLE,1000,1496.144,523,109.609,249.656
101,2016-10-05 18:27:00,4.0,1,4,BREASTSTROKE,125,175.935,85,249.656,0.0
102,2016-10-05 18:27:00,4.0,2,5,BACKSTROKE,25,36.75,13,0.0,1000.0
103,2016-10-09 09:39:00,1.0,1,1,FREESTYLE,100,111.311,36,1000.0,62.16
104,2016-10-09 09:39:00,2.0,1,2,FREESTYLE,225,281.436,107,62.16,78.906
105,2016-10-09 09:39:00,3.0,1,3,FREESTYLE,400,482.741,166,78.906,135.7
106,2016-10-09 09:39:00,4.0,1,4,FREESTYLE,800,1125.302,396,135.7,1000.0
